OrgID,FisYear,CDFlag,overall_score,econ_score,envrn_score,lenvrnmntl,corpgov_score,social_score,feeddate,fyenddate,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
10625,2011,40000000000,0.955718,0.898867,0.911706,,0.934404,0.940291,24/04/2022,31/10/2011,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2012,40000000000,0.903136,0.691096,0.868136,,0.788041,0.933856,24/04/2022,31/10/2012,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2013,40000000000,0.92243,0.699411,0.905046,,0.85902,0.915122,24/04/2022,31/10/2013,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2010,40000000000,0.886896,0.52088,0.869426,,0.854321,0.928215,24/04/2022,31/10/2010,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2014,40000000000,0.933976,0.822041,0.926171,,0.780513,0.941021,24/04/2022,31/10/2014,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2018,40000000000,0.925016,0.961376,0.948539,,0.50456,0.90608,24/04/2022,28/10/2018,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2015,40000000000,0.919866,0.839185,0.910366,,0.747812,0.930334,24/04/2022,31/10/2015,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2020,40000000000,0.929989,0.866646,0.929602,,0.672569,0.838183,24/04/2022,01/11/2020,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2021,40000000000,0.768074,0.329963,0.930664,,0.484148,0.916112,24/04/2022,31/10/2021,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2016,40000000000,0.947315,0.955375,0.928867,,0.845178,0.911892,24/04/2022,31/10/2016,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2017,40000000000,0.943319,0.896223,0.938468,,0.828882,0.950396,24/04/2022,29/10/2017,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2019,40000000000,0.821133,0.265033,0.930694,,0.613558,0.954296,24/04/2022,03/11/2019,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
12284,2021,40000000000,0.789038,0.232337,,,0.81174,0.742027,24/04/2022,,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
